Trích yếu,ID phòng xử lý
"Về điều chỉnh Điều 2 Quyết định số 2866/QĐ-UBND ngày 14/8/2021 của UBND Thành phố về giao quyền tự chủ, tự chịu trách nhiệm về tài chính giai đoạn 2021-2023 đối với đơn vị sự nghiệp công lập: Trường THPT Nguyễn Văn Cừ",2733552
Về việc tổ chức ngày giỗ tổ Hiệp hội ngành tóc và làm đẹp TPHCM,2733552
Về lập danh sách các đơn vị sự nghiệp công lập trực thuộc đề xuất công ty cổ phần theo Quyết định số 26/2021/QĐ-TTg ngày 12/8/2021 của Thủ tướng Chính phủ,2733552
Thực hiện Hiệp định Thương mại tự do giữa Việt Nam và Liên hiệp Vương quốc Anh và Bắc Ai-len trên địa bàn Thành phố Hồ Chí Minh,2733546
"Về việc nâng bậc lương trước hạn đối với công chức: bà Lê Thị Anh Thư, Phó Chủ tịch UBND huyện Nhà Bè",2733546
"V/v góp ý hướng dẫn xây dựng vị trí việc làm, biên chế công chức, số lượng người làm việc trong các cơ quan, tổ chức hành chính, đơn vị sự nghiệp công lập",2733546
"Kiểm tra công tác cải cách hành chính, kiểm soát thủ tục hành chính trên địa bàn huyện Cần Giờ năm 2022",2733540
V/v kiện toàn ban công tác người cao tuổi thành phố năm 2023,2733552
Về việc đề nghị khen thưởng cấp Thành phố,2733522
Về ủy quyền Chủ tài khoản cho Ủy viên chuyên trách - Chánh Văn phòng Ban An toàn giao thông Thành phố Hồ Chí Minh,2733552
"VỀ TỔ CHỨC HOẠT ĐỘNG VẬN TẢI PHÒNG, CHỐNG DỊCH COVID-19 TRONG TÌNH HÌNH MỚI ĐỐI VỚI LĨNH VỰC GIAO THÔNG VẬN TẢI (Ngày 12 tháng 5 năm 2022)",2733570
"V/v đăng ký nhu cầu tuyển dụng công chức, viên chức của Q.TB",2733546
Đánh giá tình hình tài chính năm 2021 của Cty TNHH MTV DVCI Quận 9,2733552
Về chấp thuận cho nhân viên đi nước ngoài về việc riêng - Nguyễn Thị Kiều Mỹ đi Anh,2733546
"V/v đề nghị góp ý dự thảo Quy chế phối hợp hoạt động và mối quan hệ công tác giữa Sở Y tế và Ủy ban nhân dân quận, huyện, thành phố Thủ Đức trong quản lý nhà nước về lĩnh vực y tế, dân số và phát triển trên địa bàn Thành phố (lần 2)",2733552
"V/v báo cáo về xin phép của Kiếm soát viên theo yêu cầu của Chủ tịch HĐTV, Công ty TNHH MTV Phát triển công nghiệp Tân Thuận",2733552
Kế hoạch thực hiện chính sách đối với người có uy tín trong đồng bào dân tộc thiểu số trên địa bàn Thành phố Hồ Chí Minh năm 2023,2733546
Đơn phản ánh và khiếu nại - chuyển TTS (Không Scan đơn),2733570
Quyết định chấm dứt Hợp đồng làm việc đối với viên chức Vương Đình Huy,2733546
Báo cáo Sơ kết 03 năm thực hiện Đề án Văn hóa công vụ,2733546
"Về việc đề nghị tổ chức Đại hội Hữu nghị Việt - Đức Thành phố Hồ Chí Minh lần thứ IV, nhiệm kỳ 2022 - 2027",2733552
"V/v góp ý đối với hồ sơ đề nghị xây dựng Luật sửa đổi, bổ sung một số điều của Luật Chất lượng sản phẩm, hàng hóa",2733540
V/v tổ chức kỳ thi chuyên viên cao cấp năm 2023,2733546
"V/v cử cán bộ công chức tham gia lớp bồi dưỡng kiến thức quản lý nhà nước chương trình chuyên viên, chuyên viên chính năm 2022",2733546
"CV Về việc cử công chức tham dự lớp bồi dưỡng lãnh đạo, quản lý cấp phòng năm 2023",2733546
V/v báo cáo hoạt động của Kiểm soát viên tháng 3/2022 và ý kiến nhận xét về tình hình lao động và tiền lương tháng 3 năm 2022,2733552
"Về việc đánh giá, phân loại Quý I năm 2023 đối với lãnh đạo",2733552
về nghỉ hưu năm 2023 ông Nguyễn Tấn Tuyến,2733546
Về đề nghị xếp lương đối với công chức,2733546
"Về công tác phòng, chống dịch COVID-19 và các hoạt động chấp hành kỷ luật, kỷ cương hành chính trong hoạt động công vụ của cán bộ, công chức, viên chức và người lao động tại các cơ quan, đơn vị Nhà nước trên địa bàn huyện Củ Chi tháng 01 năm 2022",2733570
V/v đôn đốc thực hiện ý kiến chỉ đạo của Ủy ban nhân dân Thành phố (lần 4),2733570
Đề nghị xét duyệt đi nước ngoài về việc riêng (ông Nguyễn Vĩnh Ninh - Phó Giám đốc Ban),2733546
"Sáp nhập Hội Liên hiệp Thanh niên Việt Nam phường 12, phường 13 Quận 4 TP.HCM",2733552
"V/v báo cáo kết quả đào tạo, bồi dưỡng, cán bộ, công chức, viên chức năm 2021",2733546
Về xem xét quyết định cử người quản lý công ty đi nước ngoài về việc công,2733546
"Về cử công chức, viên chức tham gia lớp bồi đưỡng kiến thức cơ bản về chuyển đổi số năm 2022",2733546
V/v giải quyết nội dung đơn tố cáo. Chuyển Thanh tra Sở,2733570
"V/v phối hợp thực hiện công tác tuyển sinh và đào tạo trình độ thạc sĩ, tiến sĩ đợt 1 năm 2022",2733546
V/v hoạt động của Tạp chí Du lịch Thành phố,2733552
Về phê duyệt kết quả tuyển dụng công chức cấp xã trong trường hợp đặc biệt đối với bà Ngô Thị Hồng Liên,2733546
"Về cử cán bộ, công chức, viên chức tham gia lớp bồi dưỡng kiến thức về dân tộc và công tác dân tộc năm 2022.",2733546
Giấy mời tham dự cuộc họp lấy ý kiến bổ nhiệm lại chức vụ Phó Giám đốc Sở Tư pháp (09 giờ 00 ngày 27/02/2023).,2733552
"V/v có ý kiến góp ý đối với dự thảo KH tổ chức Tháng hành động Tiếp nhận và giải quyết thủ tục hành chính ngay trong ngày""""",2733540
về việc góp ý Đề án thành lập Trung tâm hỗ trợ phát triển giáo dục hòa nhập Thành Đạt và Trung tâm hỗ trợ phát triển giáo dục hòa nhập Trẻ Em Việt,2733552
Kết quả thực hiện công tác cải cách hành chính 06 tháng đầu năm 2022 trên địa bàn huyện Nhà Bè,2733540
"V/v báo cáo số liệu theo Nghị định số 46/2010/NĐ-CP, Nghị định số 26/2015/NĐ-CP và biên chế xã hội hóa tháng 01/2022",2733546
"Về việc thực hiện quy trình, thủ tục bổ nhiệm, bổ nhiệm lại nhân sự quản lý của các Trường Cao đẳng công lập thuộc Ủy ban nhân dân Thành phố",2733552
Ban hành Điều lệ tổ chức và hoạt động của Công ty trách nhiệm hữu hạn một thành viên Quản lý khai thác Dịch vụ Thuỷ lợi thành phố Hồ Chí Minh,2733552
"Vv Báo cáo kết quả thực hiện công tác quản lý và xét duyệt cán bộ, công chức, viên chức đi nước ngoài năm 2022",2733546
"về việc báo cáo thống kê đội ngũ công chức, viên chức năm 2021",2733546
Báo giá tổ chức lớp bồi dưỡng kiến thức cơ bản về chuyển đổi số,2733546
"về việc chia cụm khối thi đua, thông báo cụm trưởng, khối trưởng đối với các cơ quan, đơn vị thuộc quận Tân Phú năm 2023",2733522
V/v xác nhận báo cáo thành tích đề nghị tặng Cờ Thi đua của Bộ Y tế năm 2022 đối với Viện Y dược học dân tộc,2733522
V/v đăng ký lớp Trung cấp lý luận Chính trị năm 2022,2733546
Về đề xuất các nội dung UBND TP phân cấp đối với UBND cấp huyện và đối với Sở Giáo dục và Đào tạo,2733552
"Về việc đề nghị nâng phụ cấp thâm niên vượt khung - ông Trần Minh Hùng, ông Phạm Hữu Chương",2733546
"Báo cáo Tình hình thực hiện quy tắc ứng xử, các hoạt động công vụ và các biện pháp phòng, chống dịch COVID-19 trên địa bàn Quận 4 (Ngày 13/01/2022)",2733570
"V/v báo cáo DS luân chuyển lãnh đạo cấp phòng giữa các sở, ngành, quận, huyện, thành phố Thủ Đức (lần 2)",2733546
Về việc đề nghị thẩm định Đề án cơ cấu tổ chức lại Công ty TNHH một thành viên Dịch vụ công ích quận Tân Bình - TPHCM giai đoạn 2022 - 2025 (kèm hồ sơ giấy),2733552
Về việc bổ nhiệm Thành viên chuyên trách HĐTV Tổng Công ty Nông nghiệp Sài Gòn TNHH 1TV - ông Lưu Trung Hòa,2733552
"Báo cáo công tác Nội vụ 6 tháng đầu năm và phương hướng, nhiệm vụ 6 tháng cuối năm 2022",2733552
V/v cử nhân sự tham gia Ban kiểm phiếu đăng ký dự tuyển kỳ thi tuyển công chức năm 2023,2733546
Về kiện toàn nhân sự Tổ giúp việc Hội đồng xét công nhận sáng kiến có phạm vi ảnh hưởng cấp Thành phố,2733522
"V/v quyết liệt, đẩy nhanh tiến độ đảm bảo hoàn thành đạt yêu cầu những nhiệm vụ của Đề án 06.",2733546
V/v đăng ký tham gia lớp bồi dưỡng kiến thức nâng cao nhận thức cộng đồng và quản lý rủi ro thiên tai dựa vào cộng đồng năm 2022,2733546
Về báo cáo hoạt động của Ban Kiểm soát Quý IV năm 2022,2733552
Về việc đối chiếu công nợ giữa SATRA - VTĐ (kèm bộ hồ sơ giấy),2733570
"V/v thẩm định Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Sở Y tế.",2733552
"BC việc thực hiện luật cán bộ, công chức 2008 Luật viên chức 2010, Luật sửa đổi, bổ sung một số điều của Luật cán bộ, công chức và Luật viên chức 20219",2733546
"V/v tăng cường kỷ luật, kỷ cương hành chính; thực hiện quy tắc ứng xử trên địa bàn Thành phố những ngày cận Tết và sau khi nghỉ Tết Nguyên đán Nhâm Dần năm 2022.",2733570
Về lãnh đạo khẩn trương tăng cường thực hiện các biện pháp kiểm soát xung đột lợi ích,2733552
"V/v báo cáo về nâng ngạch công chức, thăng hạng chức danh nghề nghiệp viên chức",2733546
Về triển khai thực hiện Công văn số 8504-CV/VPTU ngày 10/02/2023 của Văn phòng Thành ủy về việc tổ chức Kỷ niệm 60 năm Ngày thành lập Liên hiệp các Hội Văn học nghệ thuật TP,2733552
"Về việc đề nghị đánh giá,phân loại Lãnh đạo đơn vị Quý III và Quý IV Năm 2022",2733552
Về kiểm tra đầu vào lớp bồi dưỡng tiếng Anh tương đương bậc 3 và bậc 4 theo khung năng lực ngoại ngữ Việt Nam,2733552
"V/v xây dựng Kế hoạch triễn lãm Hồ sơ khen thưởng kháng chiến chống Pháp""""",2733534
Về triển khai thực hiện Phiếu chuyển số 439-PC/VPTU ngày 09 tháng 4 năm 2023 của Văn phòng Thành ủy,2733552
V/v thi chuyên viên cao cấp và thi thăng hạng chức danh nghề nghiệp giảng viên/giảng viên cao đẳng sư phạm năm 2023,2733546
Về việc có ý kiến đối với phương án quản lý nhà nước các đơn vị sự nghiệp công lập Vinatex đang tạm thời quản lý,2733552
Về báo cáo đề xuất theo Công văn số 1061/UBND-VX ngày 08/4/2022 của UBND Thành phố về triển khai thực hiện Công điện số 209/CĐ-TTg ngày 28/02/2022 của Thủ tướng Chính phủ,2733552
"Về việc đề nghị đánh giá, phân loai người phụ trách đơn vị Quý IV năm 2022",2733552
"Việc thực hiện Luật Cán bộ, công chức, Luật Viên chức và Luật sửa đổi bổ sung một số điều của Luật Cán bộ công chức, Luật Viên chức",2733546
Về bổ nhiệm và xếp lương ngạch thanh tra viên chính - ông Thái Đức Hùng,2733546
Về đăng ký nhu cầu tuyển dụng công chức năm 2023,2733546
"Kế hoạch : Triển khai thực hiện chiến lược phát triển giáo dục nghề nghiệp giai đoạn 2023-2030, tầm nhìn đến năm 2045 trên địa bàn TPHCM",2733546
"V/v góp ý Đề án xây dựng chương trình đạo tạo, bồi dưỡng cán bộ lãnh đạo, quản lý của Thành phố giai đoạn 2022-2025",2733546
"về việc cử nhân sự tham gia Ban Soạn thảo Đề án xác định chỉ số cải cách hành chính của các sở, ban, ngành, quận huyện thành phố thủ đức trên địa bàn tphcm",2733540
"V/v đề nghị chuyển lớp quản lý văn bản, tài liệu điện tử năm 2021.",2733546
"Về danh sách giảng viên đủ điều kiện, tiêu chuẩn dự thi thăng hạng chức danh nghề nghiệp giảng viên cao cấp (hạng I)/giảng viên cao đẳng sư phạm cao cấp (hạng I)",2733546
"Tình hình thực hiện quy tắc ứng xử, các hoạt động công vụ và các biện pháp phòng, chống dịch COVID-19 tại trụ sở làm việc ngày 04/03/2022",2733570
V/v bổ sung thí sinh thuộc đối tượng ưu tiên tham dự kỳ thi tuyển công chức Thành phố năm 2022,2733546
"Tình hình thực hiện quy tắc ứng xử, các hoạt động công vụ và các biện pháp phòng, chống dịch COVID-19 tại đơn vị trong tháng 4 năm 2023",2733570
"CV góp ý đối với tiêu chí chấm điểm của Ủy ban Mặt trận Tổ quốc Việt Nam Thành phố trong xác định Chỉ số cải cách hành chính đối với các Sở, ban, ngành Thành phố Hồ Chí Minh",2733540
"Về việc phân cấp, phân quyền trong quản lý nhà nước theo Nghị quyết số 04/NQ-CP",2733552
"V/v báo cáo kết quả đào tạo, bồi dưỡng công chức, viên chức năm 2021",2733546
Về việc xin không tham gia học lớp bồi dưỡng kiến thức về chuyển đổi số đã đăng ký năm 2021,2733546
Về việc chuẩn bị nội dung cuộc họp Ban Chỉ đạo Cải cách hành chính Thành phố Quý I năm 2022,2733540
"Về Đề án tổ chức lại các Cơ sở xã hội,Cơ sở cai nghiện ma túy trực thuộc Sở Lao động - Thương binh và Xã hội trên cơ sở đổi tên, bổ sung chức năng, nhiệm vụ",2733552
Về việc có ý kiến đối với đề xuất ủy quyền cho Trưởng ban Ban Quản lý Khu Công nghệ cao Thành phố thực hiện một số nhiệm vụ về lĩnh vực bảo vệ môi trường trong khu công nghệ cao Thành phố.,2733552
V/v kiện toàn Ban Chỉ đạo Chương trình Giảm nghèo bền vững Thành phố Hồ Chí Minh.,2733552
V/v cho ý kiến khi triển khai giải quyết thủ tục hành chính ngay trong ngày đối với thủ tục đăng ký thường trú,2733540
Về báo cáo việc triển khai thực hiện Văn bản số 4973/UBND-NCPC ngày 22 tháng 12 năm 2020 của Ủy ban nhân dân Thành phố,2733552
V/v chuẩn bị nội dung giám sát,2733570
Về bổ nhiệm và xếp lương ngạch thanh tra viên chính - ông Nguyễn Tấn Trung,2733546
"Về việc thẩm định Báo cáo quỹ tiền lương kế hoạch của người lao động, quỹ tiền lương, thù lao kế hoạch của người quản lý công ty năm 2022",2733552
Thư mời họp lúc 14h00 - 14/3/2023 thống nhất một số nội dung liên quan đến triển khai thực hiện đề án 06 trên địa bàn Thành phố,2733546
"về việc rà soát số lượng, danh sách thi thăng hạng chức danh nghề nghiệp giảng viên cao cấp (hạng I) /giảng viên CĐSP cao cấp (hạng I) năm 2023",2733546
Triển khai công tác cải cách hành chính năm 2022 tại Ban Quản lý Khu Nam,2733540
"Kế hoạch tổ chức Hội nghị sơ kết phong trào thi đua “Cán bộ, công chức, viên chức thi đua thực hiện văn hóa công sở” trên địa bàn Thành phố giai đoạn 2019 - 2025",2733522
Báo cáo Hoạt động Hội năm 2021,2733552
"Về việc ban hành Kế hoạch triển khai Đề án Nâng cao năng lực, trình độ đội ngũ cán bộ, công chức, viên chức làm công tác cải cách hành chính ở các Sở - ngành, Ủy ban nhân dân các cấp trên địa bàn Thành phố Hồ Chí Minh giai đoạn 2022 - 2025 (Lần 2)",2733540
"Kết luận của Văn phòng Ủy ban nhân dân Thành phố tại cuộc họp kiểm tra phần việc tiếp nhận, xử lý hồ sơ quy trình nội bộ trên Hệ thống thông tin giải quyết thủ tục hành chính Thành phố",2733540
V/v đề nghị chỉnh sửa trong Quyết định số 75/QĐ-UBND ngày 06/01/2022,2733522
Về việc kiện toàn Hội đồng Nghĩa vụ quân sự Thành phố,2733552
"V/v có ý kiến đối với dự thảo Thông tư hướng dẫn về vị trí việc làm công chức lãnh đạo, quản lý; nghiệp vụ chuyên môn dùng chung; hỗ trợ, phục vụ trong cơ quan, tổ chức hành chính và vị trí việc làm chức danh nghề nghiệp chuyên môn dùng chung, hỗ trợ, phục vụ trong đơn vị sự nghiệp công lập",2733546
BC Kế hoạch biên chế năm 2023,2733552
Về việc kế hoạch biên chế năm 2023,2733552
về việc đề xuất rút tên và đăng ký tham dự lớp Trung cấp lý luận Chính trị - Hành chính năm 2022 (bổ sung lần 2),2733546
"V/v đề xuất chuyên đề bồi dưỡng cán bộ lãnh đạo, quản lý theo Kết luận 39 của Bộ Chính trị giai đoạn 2023 - 2025",2733546
"Về đăng ký tham dự lớp bồi dưỡng lãnh đạo, quản lý cấp phòng năm 2022",2733546
V/v cử công chức tham dự lớp bồi dưỡng kiến thức nâng cao nhận thức cộng đồng và quản lý rủi ro thiên tai dựa vào cộng đồng năm 2022,2733546
Kết quả triển khai thực hiện kế hoạch số 84/KH-UBND ngày 11/01/2022 của UBND TP (đến ngày 15/3/2022),2733540
V/v báo cáo đánh giá tác động của thủ tục hành chính được quy định chi tiết trong dự thảo Nghị quyết thay thế Nghị quyết số 54/2017/QH14,2733552
"V/v sửa đổi, bổ sung Quyết định số 4712/QĐ - UBND ngày 20/10/2018 của UBND Thành phố",2733552
Về việc cho phép Hội Nước sạch và Môi trường Việt Nam đặt Văn phòng đại diện tại Thành phố Hồ Chí Minh,2733552
"Về phê duyệt kế hoạch sản xuất, kinh doanh năm 2022 của Công ty TNHH một thành viên Vàng bạc đá quý Sài Gòn - SJC",2733552
"Về việc góp ý hướng dẫn xây dựng vị trí việc làm, biên chế công chức, số lượng người làm việc trong các cơ quan, tổ chức hành chính, đơn vị sự nghiệp công lập",2733546
"V/v khảo sát, đánh giá nguồn nhân lực của các đơn vị triển khai thực sự Đề án 06 trên địa bàn Quận 1",2733546
"V/v tổ chức diễu hành xe loa tuyên truyền Tháng hành động Tiếp nhận và giải quyết TTHC ngay trong ngày""""",2733540
"Về việc báo cáo kết quả đánh giá, xếp loại chất lượng viên chức tại Đài năm 2021",2733546
"V/v góp ý dự thảo Kế hoạch triển khai Đề án Nâng cao năng lực, trình độ đội ngũ cán bộ, công chức, viên chức làm công tác cải cách hành chính ở các Sở - ngành, Ủy ban nhân dân các cấp trên địa bàn Thành phố Hồ Chí Minh giai đoạn 2022-2025",2733540
"Báo cáo Kết quả định kỳ chuyển đổi vị trí công tác đối với công chức, viên chức trực thuộc Sở năm 2022",2733546
"Công nhận kết quả đánh giá, phân loại theo hiệu quả công việc đối với viên chức, người lao động Trung tâm Dịch vụ Tư vấn Đầu tư Xây dựng Quý IV năm 2021",2733546
Vv Chương trình công tác tháng 2/2023 của Hội đồng thành viên,2733552
Tổ chức và phát động phong trào thi đua yêu nước năm 2022,2733522
v/v có ý kiến thực hiện Nghị định 111/2022/NĐ-CP,2733546
"V/v tham gia ý kiến dự thảo Nghị định về khuyến khích, bảo vệ cán bộ năng động, sáng tạo, dám nghĩ, dám làm, dám đột phá vì lợi ích chung",2733546
Chương trình công tác tháng 6/2023 của Hội đồng thành viên,2733552
V/v cung cấp nhân sự đầu mối phối hợp điều tra xã hội học phục vụ xác định Chỉ số cải cách hành chính năm 2022 của Thành phố,2733540
Về việc cho công chức thôi việc đối với bà Trần Thị Hoa Lê.,2733546
"Về việc nâng bậc lương trước thời hạn đối với công chức, ông Nguyễn Duy An Phó Chủ tịch Ủy ban nhân dân Quận 1",2733546
"V/v đăng ký tham dự các lớp bồi dưỡng kiến thức quản lý nhà nước chương trình chuyên viên cao cấp; bồi dưỡng lãnh đạo, quản lý cấp sở và tương đương năm 2022",2733546
Về góp ý dự thảo văn bản triển khai thực hiện kết luận kiểm toán ngân sách địa phương niên độ 2020,2733552
"Về việc thành lập Tổ công tác và Tổ giúp việc Tổ Công tác xây dựng Đề án phân cấp, ủy quyền",2733552
Về việc bổ nhiệm lại Phó Hiệu trưởng Trường Cao đẳng Kinh tế - Kỹ thuật Thành phố Hồ Chí Minh,2733552
"Về việc cử Đoàn của TP tham dự chương trình bồi dưỡng của Cơ quan Hạ tầng Châu Á (IA), Singapore (từ 27/3/2023 đến 31/3/2023)",2733546
Về chuyển ngạch đối với công chức - Nguyễn Văn Tấn,2733546
V/v thống kê tình hình sử dụng biên chế của quận,2733552
V/v đề nghị thẩm định danh sách tinh giản biên chế đợt 1 năm 2023,2733552
"BÁO CÁO Kết quả triển khai thực thiện chủ đề năm 2023 Nâng cao hiệu quả hoạt động công vụ, đẩy mạnh cải cách hành chính và cải thiện môi trường đầu tư; thúc đẩy phát triển kinh tế, đảm bảo an sinh xã hội"" 6 tháng đầu năm 2023""",2733546
Báo cáo về kết quả hoạt động tháng 01/2022 và chương trình công tác tháng 02/2022 của Hội đồng thành viên,2733552
V/v Đề án thành lập Viện Công nghệ tiên tiến và đổi mới sáng tạo thuộc Sở Khoa học và Công nghệ,2733552
"Kết quả thực hiện Quyết định số 4712/QĐ-UBND, Quyết định số 4713/QĐ-UBND (tính từ 20/1/2019-1/4/2022)",2733552
"Về việc báo cáo khắc phục thiếu sót trong thực hiện quy trình đề nghị điều động, bổ nhiệm cán bộ",2733552
Về đề nghị miễn nhiệm ngạch Thanh tra viên. bà Huỳnh Thanh Thúy,2733546
"V/v rà soát, thống kê và đề xuất sắp xếp giảm các Tổ chức phối hợp liên ngành do Chủ tịch UBND/Q thành lập",2733552
V/v đăng ký lớp bồi dưỡng nghiệp vụ đối ngoại năm 2023,2733546
"V/v triển khai Quyết định số 26/2021/QĐ-TTg ngày 12/8/2021 của Thủ tướng Chính phủ về danh mục ngành, lĩnh vực thực hiện chuyển đơn vị sự nghiệp công lập thành công ty cổ phần",2733552
Về hồ sơ thành lập Trung tâm Giáo dục nghề nghiệp Thành Tài,2733552
Về tặng Bằng khen đối với các cá nhân thuộc Quận 5,2733522
Kết quả tuyển dụng viên chức tại các đơn vị sự nghiệp công lập năm 2021 trên địa bàn huyện Bình Chánh,2733546
Về việc cho phép thành lập Hội Sinh viên Việt Nam Trường Cao đẳng Giao thông vận tải,2733552
"V/v báo cáo kết quả đào tạo, bồi dưỡng cán bộ, công chức, viên chức năm 2021",2733546
"Về việc góp ý dự thảo Đề án thí điểm thi tuyển chức danh lãnh đạo, quản lý các cơ quan, đơn vị trên địa bàn Thành phố Hồ Chí Minh",2733546
"Báo cáo hoạt động phòng, chống dịch COVID-19 ngày 06/3/2022",2733570
Tổng kết hoạt động năm 2022 và phương hướng hoạt động năm 2023,2733552
V/v thẩm định quỹ tiền lương và thù lao thực hiện của người quản lý và quỹ tiền lương thực hiện của người lao động năm 2022 của Công ty TNHH MTV Thoát nước Đô thị Thành phố,2733552
"V/v rà soát danh sách đủ điều kiện, tiêu chuẩn và không đủ điều kiện, tiêu chuẩn tham dự kỳ thi tuyển công chức năm 2022",2733546
"Về bổ nhiệm lại chức vụ Thành viên không chuyên trách HĐTV, Tổng Giám đốc Tổng Công ty Công nghiệp In - Bao bì Liksin TNHH MTV Nguyễn Ngọc Minh Thy",2733552
Về kết quả thực hiện chỉnh lý tài liệu lưu trữ tồn đọng của Sở Xây dựng giai đoạn 1975-2015,2733534
Tổ chức Tháng hành động “Tiếp nhận và giải quyết thủ tục hành chính ngay trong ngày”.,2733540
Về chấp thuận người quản lý doanh nghiệp nghỉ phép đi nước ngoài về việc riêng - Lê Văn Anh,2733546
"Định kỳ chuyển đổi vị trí công tác đối với công chức, viên chức không giữ chức vụ lãnh đạo, quản lý huyện Cần Giờ năm 2023",2733546
"V/v đăng ký tham dự các khóa bồi dưỡng lãnh đạo, quản lý cấp sở năm 2023",2733546
