input,label
chấp_thuận nhân_viên đi nước_ngoài nguyễn_thị_kiều mỹ đi,2733546
đề_nghị góp_ý dự_thảo quy_chế phối_hợp hoạt_động quan_hệ công_tác sở y_tế ủy_ban nhân_dân huyện thành_phố thủ_đức quản_lý nhà_nước lĩnh_vực y_tế dân_số phát_triển địa_bàn thành_phố,2733552
báo_cáo phép kiếm soát viên chủ_tịch hđtv công_ty tnhh mtv phát_triển công_nghiệp tân_thuận,2733552
kế_hoạch chính_sách uy_tín đồng_bào dân_tộc_thiểu_số địa_bàn thành_phố hồ_chí minh,2733546
đơn phản_ánh khiếu_nại tts scan_đơn,2733570
quyết_định chấm_dứt hợp_đồng làm_việc viên_chức vương_đình_huy,2733546
báo_cáo sơ_kết đề_án văn_hóa công_vụ,2733546
đề_nghị tổ_chức đại_hội hữu_nghị việt đức thành_phố hồ_chí minh nhiệm_kỳ,2733552
góp_ý hồ_sơ đề_nghị xây_dựng luật sửa_đổi bổ_sung luật chất_lượng sản_phẩm hàng_hóa,2733540
tổ_chức kỳ thi chuyên_viên cao_cấp,2733546
cử cán_bộ công_chức tham_gia lớp bồi_dưỡng kiến_thức quản_lý nhà_nước chương_trình chuyên_viên chuyên_viên,2733546
cv cử công_chức tham_dự lớp bồi_dưỡng lãnh_đạo quản_lý phòng,2733546
báo_cáo hoạt_động kiểm_soát viên ý_kiến nhận_xét tình_hình lao_động tiền_lương,2733552
phân_loại quý lãnh_đạo,2733552
nghỉ hưu nguyễn_tấn_tuyến,2733546
đề_nghị xếp lương công_chức,2733546
công_tác phòng chống dịch covid hoạt_động chấp_hành kỷ_luật kỷ_cương hành_chính hoạt_động công_vụ cán_bộ công_chức viên_chức lao_động cơ_quan nhà_nước địa_bàn huyện củ_chi,2733570
đôn_đốc ý_kiến chỉ_đạo ủy_ban nhân_dân thành_phố,2733570
đề_nghị xét_duyệt đi nước_ngoài nguyễn_vĩnh_ninh phó_giám_đốc ban,2733546
sáp_nhập hội liên_hiệp thanh_niên việt_nam phường phường tp hcm,2733552
báo_cáo kết_quả đào_tạo bồi_dưỡng cán_bộ công_chức viên_chức,2733546
xem_xét quyết_định cử quản_lý công_ty đi nước_ngoài công,2733546
cử công_chức viên_chức tham_gia lớp bồi đưỡng kiến_thức cơ_bản chuyển_đổi,2733546
giải_quyết nội_dung đơn tố_cáo thanh_tra sở,2733570
phối_hợp công_tác tuyển_sinh đào_tạo trình_độ thạc_sĩ tiến_sĩ đợt,2733546
hoạt_động tạp_chí du_lịch thành_phố,2733552
phê_duyệt kết_quả tuyển_dụng công_chức xã trường_hợp ngô_thị_hồng_liên,2733546
cử cán_bộ công_chức viên_chức tham_gia lớp bồi_dưỡng kiến_thức dân_tộc công_tác dân_tộc,2733546
giấy mời tham_dự họp ý_kiến bổ_nhiệm chức_vụ phó_giám_đốc sở tư_pháp,2733552
ý_kiến góp_ý dự_thảo kh tổ_chức hành_động tiếp_nhận giải_quyết thủ_tục hành_chính,2733540
góp_ý đề_án thành_lập trung_tâm phát_triển giáo_dục hòa_nhập thành_đạt trung_tâm phát_triển giáo_dục hòa_nhập trẻ_em việt,2733552
kết_quả_thực_hiện công_tác cải_cách hành_chính đầu địa_bàn huyện nhà_bè,2733540
báo_cáo số_liệu nghị_định nđ cp nghị_định nđ cp biên_chế xã_hội hóa,2733546
quy_trình thủ_tục bổ_nhiệm bổ_nhiệm nhân_sự quản_lý trường cao_đẳng công_lập ủy_ban nhân_dân thành_phố,2733552
ban_hành điều_lệ tổ_chức hoạt_động công_ty trách_nhiệm hữu_hạn thành_viên quản_lý khai_thác dịch_vụ thủy_lợi thành_phố hồ_chí_minh,2733552
vv báo_cáo kết_quả_thực_hiện công_tác quản_lý xét_duyệt cán_bộ công_chức viên_chức đi nước_ngoài,2733546
báo_cáo thống_kê đội_ngũ công_chức viên_chức,2733546
báo_giá tổ_chức lớp bồi_dưỡng kiến_thức cơ_bản chuyển_đổi,2733546
chia cụm khối thi_đua thông_báo cụm trưởng khối trưởng cơ_quan tân_phú,2733522
xác_nhận báo_cáo thành_tích đề_nghị tặng cờ thi_đua y_tế viện dược_học dân_tộc,2733522
đăng_ký lớp trung_cấp lý_luận chính_trị,2733546
đề_xuất nội_dung ubnd tp phân_cấp ubnd huyện sở giáo_dục đào_tạo,2733552
đề_nghị nâng phụ_cấp thâm_niên khung trần_minh hùng phạm_hữu_chương,2733546
báo_cáo tình_hình quy_tắc ứng_xử hoạt_động công_vụ biện_pháp phòng chống dịch covid địa_bàn,2733570
báo_cáo ds luân_chuyển lãnh_đạo phòng sở ngành huyện thành_phố thủ_đức,2733546
đề_nghị thẩm_định đề_án cơ_cấu tổ_chức công_ty tnhh thành_viên dịch_vụ công_ích tân_bình tphcm giai_đoạn kèm hồ_sơ giấy,2733552
bổ_nhiệm thành_viên chuyên_trách hđtv tổng_công_ty nông_nghiệp sài_gòn_tnhh lưu_trung_hòa,2733552
báo_cáo công_tác nội_vụ đầu phương_hướng nhiệm_vụ,2733552
cử_nhân_sự tham_gia ban_kiểm phiếu đăng_ký dự_tuyển kỳ thi_tuyển công_chức,2733546
kiện_toàn nhân_sự tổ giúp_việc hội_đồng xét công_nhận sáng_kiến phạm_vi ảnh_hưởng thành_phố,2733522
quyết_liệt đẩy tiến_độ hoàn_thành_đạt nhiệm_vụ đề_án,2733546
đăng_ký tham_gia lớp bồi_dưỡng kiến_thức nâng nhận_thức cộng_đồng quản_lý rủi_ro thiên_tai dựa cộng_đồng,2733546
báo_cáo hoạt_động ban kiểm_soát quý iv,2733552
đối_chiếu công_nợ satra vtđ kèm hồ_sơ giấy,2733570
thẩm_định quy_định chức_năng nhiệm_vụ quyền_hạn cơ_cấu tổ_chức sở y_tế,2733552
luật cán_bộ công_chức luật viên_chức luật sửa_đổi bổ_sung luật cán_bộ công_chức luật viên_chức,2733546
tăng_cường kỷ_luật kỷ_cương hành_chính quy_tắc ứng_xử địa_bàn thành_phố cận tết nghỉ tết_nguyên đán nhâm dần,2733570
lãnh_đạo khẩn_trương tăng_cường biện_pháp kiểm_soát xung_đột lợi_ích,2733552
báo_cáo nâng ngạch công_chức thăng_hạng chức_danh nghề_nghiệp viên_chức,2733546
triển_khai công_văn cv vptu văn_phòng thành_ủy tổ_chức kỷ_niệm thành_lập liên_hiệp hội văn_học nghệ_thuật tp,2733552
đề_nghị phân_loại lãnh_đạo quý iii quý iv,2733552
kiểm_tra đầu_vào lớp bồi_dưỡng tiếng tương_đương bậc bậc khung năng_lực ngoại_ngữ việt_nam,2733552
xây_dựng kế_hoạch triễn lãm hồ_sơ khen_thưởng kháng_chiến chống pháp,2733534
triển_khai phiếu pc vptu văn_phòng thành_ủy,2733552
thi chuyên_viên cao_cấp thi thăng_hạng chức_danh nghề_nghiệp giảng_viên giảng_viên cao_đẳng sư_phạm,2733546
ý_kiến phương_án quản_lý nhà_nước sự_nghiệp công_lập vinatex tạm_thời quản_lý,2733552
báo_cáo đề_xuất công_văn ubnd vx ubnd thành_phố triển_khai công_điện cđ ttg thủ_tướng chính_phủ,2733552
đề_nghị phân loai phụ_trách quý iv,2733552
luật cán_bộ công_chức luật viên_chức luật sửa_đổi bổ_sung luật cán_bộ công_chức luật viên_chức,2733546
bổ_nhiệm xếp lương ngạch thanh_tra viên thái_đức_hùng,2733546
đăng_ký nhu_cầu tuyển_dụng công_chức,2733546
kế_hoạch triển_khai chiến_lược phát_triển giáo_dục nghề_nghiệp giai_đoạn tầm địa_bàn tphcm,2733546
góp_ý đề_án xây_dựng chương_trình đạo bồi_dưỡng cán_bộ lãnh_đạo quản_lý thành_phố giai_đoạn,2733546
cử_nhân_sự tham_gia ban_soạn_thảo đề_án xác_định chỉ_số cải_cách hành_chính sở ban ngành huyện thành_phố thủ đức địa_bàn tphcm,2733540
đề_nghị lớp quản_lý văn_bản tài_liệu điện_tử,2733546
danh_sách giảng_viên tiêu_chuẩn dự_thi thăng_hạng chức_danh nghề_nghiệp giảng_viên cao_cấp hạng giảng_viên cao_đẳng sư_phạm cao_cấp hạng,2733546
tình_hình quy_tắc ứng_xử hoạt_động công_vụ biện_pháp phòng chống dịch covid trụ_sở làm_việc,2733570
bổ_sung thí_sinh đối_tượng ưu_tiên tham_dự kỳ thi_tuyển công_chức thành_phố,2733546
tình_hình quy_tắc ứng_xử hoạt_động công_vụ biện_pháp phòng chống dịch covid,2733570
cv góp_ý tiêu_chí chấm ủy_ban mặt_trận tổ_quốc việt_nam thành_phố xác_định chỉ_số cải_cách hành_chính sở ban ngành thành_phố hồ_chí_minh,2733540
phân_cấp phân_quyền quản_lý nhà_nước nghị_quyết nq cp,2733552
báo_cáo kết_quả đào_tạo bồi_dưỡng công_chức viên_chức,2733546
tham_gia học lớp bồi_dưỡng kiến_thức chuyển_đổi đăng_ký,2733546
nội_dung họp ban chỉ_đạo cải_cách hành_chính thành_phố quý,2733540
đề_án tổ_chức cơ_sở xã_hội cơ_sở cai_nghiện ma_túy trực_thuộc sở lao_động thương_binh xã_hội cơ_sở đổi bổ_sung chức_năng nhiệm_vụ,2733552
ý_kiến đề_xuất_ủy quyền trưởng ban ban quản_lý khu công_nghệ_cao thành_phố nhiệm_vụ lĩnh_vực bảo_vệ môi_trường khu công_nghệ_cao thành_phố,2733552
kiện_toàn ban chỉ_đạo chương_trình nghèo bền_vững thành_phố hồ_chí_minh,2733552
ý_kiến triển_khai giải_quyết thủ_tục hành_chính thủ_tục đăng_ký thường_trú,2733540
báo_cáo triển_khai văn_bản ubnd ncpc ủy_ban nhân_dân thành_phố,2733552
nội_dung giám_sát,2733570
bổ_nhiệm xếp lương ngạch thanh_tra viên nguyễn_tấn_trung,2733546
thẩm_định báo_cáo quỹ tiền_lương kế_hoạch lao_động quỹ tiền_lương thù_lao kế_hoạch quản_lý công_ty,2733552
thư mời họp thống_nhất nội_dung triển_khai đề_án địa_bàn thành_phố,2733546
rà_soát số_lượng danh_sách_thi thăng_hạng chức_danh nghề_nghiệp giảng_viên cao_cấp hạng giảng_viên cđsp cao_cấp hạng,2733546
triển_khai công_tác cải_cách hành_chính ban quản_lý khu_nam,2733540
kế_hoạch tổ_chức hội_nghị sơ_kết phong_trào thi_đua cán_bộ công_chức viên_chức thi_đua văn_hóa công_sở địa_bàn thành_phố giai_đoạn,2733522
báo_cáo hoạt_động hội,2733552
ban_hành kế_hoạch triển_khai đề_án nâng năng_lực trình_độ đội_ngũ cán_bộ công_chức viên_chức công_tác cải_cách hành_chính sở ngành ủy_ban nhân_dân địa_bàn thành_phố hồ_chí_minh giai_đoạn,2733540
kết_luận văn_phòng ủy_ban nhân_dân thành_phố họp kiểm_tra tiếp_nhận hồ_sơ quy_trình nội_bộ hệ_thống thông_tin giải_quyết thủ_tục hành_chính thành_phố,2733540
đề_nghị chỉnh_sửa quyết_định qđ ubnd,2733522
kiện_toàn hội_đồng nghĩa_vụ quân_sự thành_phố,2733552
ý_kiến dự_thảo thông_tư hướng_dẫn công_chức lãnh_đạo quản_lý nghiệp_vụ chuyên_môn phục_vụ cơ_quan tổ_chức hành_chính việc_làm chức_danh nghề_nghiệp chuyên_môn phục_vụ sự_nghiệp công_lập,2733546
bc kế_hoạch biên_chế,2733552
kế_hoạch biên_chế,2733552
đề_xuất rút đăng_ký tham_dự lớp trung_cấp lý_luận chính_trị hành_chính bổ_sung,2733546
đề_xuất chuyên_đề bồi_dưỡng cán_bộ lãnh_đạo quản_lý kết_luận chính_trị giai_đoạn,2733546
đăng_ký tham_dự lớp bồi_dưỡng lãnh_đạo quản_lý phòng,2733546
cử công_chức tham_dự lớp bồi_dưỡng kiến_thức nâng nhận_thức cộng_đồng quản_lý rủi_ro thiên_tai dựa cộng_đồng,2733546
kết_quả triển_khai kế_hoạch kh ubnd ubnd tp,2733540
báo_cáo tác_động thủ_tục hành_chính quy_định chi_tiết dự_thảo nghị_quyết thay_thế nghị_quyết qh14,2733552
sửa_đổi bổ_sung quyết_định qđ ubnd ubnd thành_phố,2733552
phép hội nước_sạch môi_trường việt_nam văn_phòng đại_diện thành_phố hồ_chí_minh,2733552
phê_duyệt kế_hoạch sản_xuất kinh_doanh công_ty tnhh thành_viên vàng_bạc đá_quý sài_gòn sjc,2733552
góp_ý hướng_dẫn xây_dựng việc_làm biên_chế công_chức số_lượng làm_việc cơ_quan tổ_chức hành_chính sự_nghiệp công_lập,2733546
khảo_sát nhân_lực triển_khai đề_án địa_bàn,2733546
tổ_chức diễu_hành xe loa tuyên_truyền hành_động tiếp_nhận giải_quyết tthc,2733540
báo_cáo kết_quả xếp chất_lượng viên_chức đài,2733546
góp_ý dự_thảo kế_hoạch triển_khai đề_án nâng năng_lực trình_độ đội_ngũ cán_bộ công_chức viên_chức công_tác cải_cách hành_chính sở ngành ủy_ban nhân_dân địa_bàn thành_phố hồ_chí_minh giai_đoạn,2733540
báo_cáo kết_quả định_kỳ chuyển_đổi công_tác công_chức viên_chức trực_thuộc sở,2733546
công_nhận kết_quả phân_loại hiệu_quả công_việc viên_chức lao_động trung_tâm dịch_vụ tư_vấn đầu_tư xây_dựng quý iv,2733546
vv chương_trình công_tác hội_đồng thành_viên,2733552
tổ_chức phát_động phong_trào thi_đua yêu,2733522
ý_kiến nghị_định nđ cp,2733546
tham_gia ý_kiến dự_thảo nghị_định khuyến_khích bảo_vệ cán_bộ năng_động sáng_tạo dám dám dám đột_phá lợi_ích,2733546
chương_trình công_tác hội_đồng thành_viên,2733552
cung_cấp nhân_sự đầu_mối phối_hợp điều_tra xã_hội_học phục_vụ xác_định chỉ_số cải_cách hành_chính thành_phố,2733540
công_chức trần_thị hoa lê,2733546
nâng bậc lương thời_hạn công_chức nguyễn duy_an phó_chủ_tịch ủy_ban nhân_dân,2733546
đăng_ký tham_dự lớp bồi_dưỡng kiến_thức quản_lý nhà_nước chương_trình chuyên_viên cao_cấp bồi_dưỡng lãnh_đạo quản_lý sở tương_đương,2733546
góp_ý dự_thảo văn_bản triển_khai kết_luận kiểm_toán ngân_sách địa_phương niên độ,2733552
thành_lập tổ công_tác tổ giúp_việc tổ công_tác xây_dựng đề_án phân_cấp ủy_quyền,2733552
bổ_nhiệm phó_hiệu_trưởng trường cao_đẳng kinh_tế kỹ_thuật thành_phố hồ_chí_minh,2733552
cử đoàn tp tham_dự chương_trình bồi_dưỡng cơ_quan hạ_tầng châu_á ia singapore,2733546
ngạch công_chức nguyễn văn_tấn,2733546
thống_kê tình_hình biên_chế,2733552
đề_nghị thẩm_định_danh_sách tinh_giản biên_chế đợt,2733552
báo_cáo kết_quả triển_khai thực thiện chủ_đề nâng hiệu_quả hoạt_động công_vụ đẩy_mạnh cải_cách hành_chính cải_thiện môi_trường đầu_tư thúc_đẩy phát_triển kinh_tế đảm_bảo_an_sinh xã_hội đầu,2733546
báo_cáo kết_quả hoạt_động chương_trình công_tác hội_đồng thành_viên,2733552
đề_án thành_lập viện công_nghệ tiên_tiến đổi_mới sáng_tạo sở khoa_học công_nghệ,2733552
kết_quả_thực_hiện quyết_định qđ ubnd quyết_định qđ ubnd,2733552
báo_cáo khắc_phục thiếu_sót quy_trình đề_nghị điều_động bổ_nhiệm cán_bộ,2733552
đề_nghị miễn_nhiệm ngạch thanh_tra viên huỳnh_thanh_thúy,2733546
rà_soát thống_kê đề_xuất sắp_xếp tổ_chức phối_hợp liên_ngành chủ_tịch ubnd thành_lập,2733552
đăng_ký lớp bồi_dưỡng nghiệp_vụ đối_ngoại,2733546
triển_khai quyết_định qđ ttg thủ_tướng chính_phủ danh_mục ngành lĩnh_vực sự_nghiệp công_lập thành_công_ty cổ_phần,2733552
hồ_sơ thành_lập trung_tâm giáo_dục nghề_nghiệp thành_tài,2733552
tặng khen,2733522
kết_quả tuyển_dụng viên_chức sự_nghiệp công_lập địa_bàn huyện bình_chánh,2733546
phép thành_lập hội sinh_viên việt_nam trường cao_đẳng giao_thông vận_tải,2733552
báo_cáo kết_quả đào_tạo bồi_dưỡng cán_bộ công_chức viên_chức,2733546
góp_ý dự_thảo đề_án thí_điểm thi_tuyển chức_danh lãnh_đạo quản_lý cơ_quan địa_bàn thành_phố hồ_chí_minh,2733546
báo_cáo hoạt_động phòng chống dịch covid,2733570
tổng_kết hoạt_động phương_hướng hoạt_động,2733552
thẩm_định quỹ tiền_lương thù_lao quản_lý quỹ tiền_lương_thực_hiện lao_động công_ty tnhh mtv thoát đô_thị thành_phố,2733552
rà_soát danh_sách tiêu_chuẩn tiêu_chuẩn tham_dự kỳ thi_tuyển công_chức,2733546
bổ_nhiệm chức_vụ thành_viên chuyên_trách hđtv tổng_giám_đốc tổng_công_ty công_nghiệp in bao_bì liksin_tnhh mtv nguyễn_ngọc minh_thy,2733552
kết_quả_thực_hiện chỉnh_lý_tài_liệu lưu_trữ tồn_đọng sở xây_dựng giai_đoạn,2733534
tổ_chức hành_động tiếp_nhận giải_quyết thủ_tục hành_chính,2733540
chấp_thuận quản_lý doanh_nghiệp nghỉ_phép đi nước_ngoài lê_văn_anh,2733546
định_kỳ chuyển_đổi công_tác công_chức viên_chức chức_vụ lãnh_đạo quản_lý huyện,2733546
đăng_ký tham_dự khóa bồi_dưỡng lãnh_đạo quản_lý sở,2733546
góp_ý nội_dung sửa_đổi bổ_sung nghị_định nđ cp nghị_định nđ cp,2733546
ban_hành quy_định chức_năng nhiệm_vụ quyền_hạn cơ_cấu tổ_chức trung_tâm y_tế bình_thạnh_trực_thuộc ủy_ban nhân_dân bình_thạnh,2733552
cử cán_bộ đăng_ký tham_gia bồi_dưỡng lãnh_đạo quản_lý phòng,2733546
điều_chỉnh thành_viên hội_đồng trường trường cao_đẳng kiến_trúc xây_dựng thành_phố hồ_chí_minh,2733552
bổ_nhiệm xếp lương ngạch thanh_tra viên trần_công_hoan,2733546
cv báo_cáo tình_hình tuyển_dụng công_chức viên_chức,2733546
báo_cáo kết_quả_thực_hiện tăng_cường kỷ_luật kỷ_cương hành_chính quy_định quy_tắc ứng_xử quý,2733570
cơ_quan đại_diện nam,2733552
báo_cáo kết_quả xếp chất_lượng công_chức viên_chức,2733546
đề_nghị phân_loại hàng quý hiệu_quả công_việc giám_đốc sở quý iv,2733552
tổ_chức báo_cáo thời_sự quý,2733552
đăng_ký nhu_cầu tổ_chức thi_tuyển chức_danh lãnh_đạo quản_lý,2733546
tổ_chức festival hoa_lan thành_phố hồ_chí_minh ii,2733522
tinh_giản biên_chế cơ_cấu đội_ngũ cán_bộ công_chức viên_chức,2733552
xây_dựng cơ_sở dữ_liệu cán_bộ công_chức viên_chức nữ cơ_sở dữ_liệu thành_phố cán_bộ công_chức viên_chức,2733546
kh tăng_cường thông_tin tuyên_truyền công_tác cải_cách hành_chính văn_hóa công_sở văn_hóa công_vụ địa_bàn,2733540
báo_cáo kết_quả đào_tạo bồi_dưỡng cán_bộ công_chức viên_chức công_văn snv ccvc sở nội_vụ,2733546
báo_cáo hoạt_động phòng chống dịch covid,2733570
nội_dung kết_luận phó_chủ_tịch ubnd tp phan_thị_thắng họp báo_cáo kế_hoạch sắp_xếp doanh_nghiệp nhà_nước trực_thuộc ubnd thành_phố hồ_chí_minh giai_đoạn,2733552
báo_cáo kết_quả_thực_hiện chỉ_đạo ubnd thành_phố công_văn ubnd đt,2733552
kế_hoạch triển_khai nhiệm_vụ giải_pháp góp_phần nâng kết_quả_thực_hiện chỉ_số hiệu_quả quản_trị hành_chính công tỉnh papi thành_phố địa_bàn,2733540
góp_ý dự_thảo quyết_định ban_hành quy_chế phối_hợp sở ban ngành ủy_ban nhân_dân thành_phố thủ_đức ủy_ban nhân_dân huyện,2733552
góp_ý sửa_đổi quyết_định qđ ubnd ubnd thanh_phố,2733540
lập danh_sách điều_tra xã_hội_học phục_vụ xác_định chỉ_số cải_cách hành_chính thành_phố,2733540
góp_ý dự_thảo kh phát_động phong_trào thi_đua đẩy_mạnh giải_ngân vốn đầu_tư công địa_bàn tphcm giai_đoạn,2733522
nâng bậc lương thời_hạn cán_bộ công_chức viên_chức lao_động,2733546
góp_ý hướng_dẫn xây_dựng việc_làm biên_chế công_chức số_lượng làm_việc cơ_quan tổ_chức hc sự_nghiệp công_lập,2733546
tình_hình triển_khai dự_án tuyến đường_sắt đô_thị bến_thành suối_tiên bến_thành tham_lương tuần phục_vụ họp giao_ban khối đô_thị,2733552
kh kiểm_tra khảo_sát tình_hình công_tác cải_cách hành_chính công_tác kiểm_soát thủ_tục hành_chính,2733540
cử_nhân_sự phụ_trách lãnh_đạo quản_lý điều_hành hoạt_động đại_diện pháp_luật quỹ phát_triển thành_phố ngô_tấn_phát,2733552
góp_ý hướng_dẫn xây_dựng việc_làm biên_chế công_chức số_lượng làm_việc cơ_quan tổ_chức hành_chính sự_nghiệp công_lập,2733546
tặng khen tập_thể sở quy_hoạch kiến_trúc,2733522
đề_nghị ý_kiến điều_động phó_giám_đốc công_ty tnhh mtv dịch_vụ công_ích huyện nhà_bè,2733552
đăng_ký tham_dự lớp kiến_thức chuyển_đổi,2733546
nâng bậc lương thời_hạn phạm_quang_tú phó_chủ_tịch ủy_ban nhân_dân,2733546
hồ_sơ kiểm_điểm xếp chất_lượng công_chức viên_chức đài diện ban thường_vụ thành_ủy quản_lý,2733552
danh_sách lãnh_đạo phòng,2733546
góp_ý dự_thảo văn_bản ủy_ban nhân_dân thành_phố hồ_chí_minh triển_khai quyết_định qđ ubqgcđs kế_hoạch hoạt_động ủy_ban quốc_gia chuyển_đổi,2733546
công_nhận danh_hiệu tập_thể lao_động xuất_sắc,2733522
báo_cáo kết_quả giải_quyết tồn_đọng vướng_mắc tạp_chí khoa_học phổ_thông,2733552
góp_ý dự_thảo tờ_trình kế_hoạch tổ_chức lớp bồi_dưỡng cán_bộ quy_hoạch thành_ủy nhiệm_kỳ,2733546
góp_ý dự_thảo văn_bản công_văn snv tcbc tcpcp sở nội_vụ,2733552
kiểm_tra công_tác tổ_chức bộ_máy nhân_sự quản_lý hồ_sơ điện_tử,2733546
triển_khai thông_tư tt btc tài_chính,2733546
phân_công qlnn tổ_chức hội địa_bàn,2733552
quỹ tiền_lương kế_hoạch công_ty tnhh thành_viên,2733552
báo_cáo kế_hoạch biên_chế hành_chính số_lượng làm_việc cơ_quan trực_thuộc ủy_ban nhân_dân,2733552
đăng_ký tham_dự lớp bồi_dưỡng lãnh_đạo quản_lý phòng,2733546
giao_nộp hồ_sơ tài_liệu trung_tâm lưu_trữ lịch_sử thành_phố,2733534
bổ_nhiệm kế_toán trưởng công_ty tnhh mtv xổ_số kiến_thiết thành_phố hồ_chí_minh,2733552
quyết_định phân_công nhiệm_vụ lãnh_đạo đài,2733552
